,user,txt,dt,user_location
279,ScoopReportnews,POT TOPICS: Chicago-based weed company goes public in Canada; UK OKs medical pot https://t.co/Qufz5vVCt7 https://t.co/W9Hzz2sWLa,Sat Jul 28 16:04:19 +0000 2018,"Pennsylvania, USA"
280,rulefollower,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:55:09 +0000 2018,
281,johnnyrockett01,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:49:19 +0000 2018,"Tennessee, USA"
282,LTezekjian,I liked a @YouTube video https://t.co/BkERFTjKR2 Why Is the World Legalizing Marijuana All at the Same Time?,Sat Jul 28 15:39:44 +0000 2018,"Lehigh Acres, FL"
283,GSheltonJr,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:33:41 +0000 2018,Global
284,iVapeSmart,Arizona Marijuana Laws and Legalization 2018  https://t.co/sYBV1VjO2L https://t.co/kGOmHVxqKa,Sat Jul 28 15:32:16 +0000 2018,"Miami Beach, Fl"
285,VeraAtMB,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:30:57 +0000 2018,
286,PepperOhneill,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:25:52 +0000 2018,
287,ScoopReportnews,"This man was growing 2,079 marijuana plants. Now, he&amp;#x92;s facing life in prison https://t.co/AbI89hQTld",Sat Jul 28 15:21:34 +0000 2018,"Pennsylvania, USA"
288,nelia_marcheski,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:21:31 +0000 2018,"Pennsylvania, USA"
289,BalanceOverBias,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:20:44 +0000 2018,Everywhere and in between
290,S_Devenish,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:17:02 +0000 2018,"Queens, NY"
291,DrugTestNews,Green growth: Number of potential marijuana businesses spikes following passage of SQ 788 https://t.co/5ilPbYZc6W,Sat Jul 28 15:16:31 +0000 2018,"Boca Raton, FL"
292,Jamesan29756862,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:14:08 +0000 2018,
293,Patti53489797,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:11:04 +0000 2018,
294,purelogictx1,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:10:54 +0000 2018,"Jacksonville, Tx."
295,bocajoyce,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:10:03 +0000 2018,
296,BullardJenni,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:06:12 +0000 2018,
297,Street_Saints14,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:05:46 +0000 2018,"Michigan, USA"
298,foomoto,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:03:52 +0000 2018,Home
299,johnrherzog,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:01:22 +0000 2018,Rathdrum Idaho
300,LindaEpai457450,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 15:00:24 +0000 2018,
301,Donald85851183,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:58:50 +0000 2018,
302,QBDAD,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:54:27 +0000 2018,florida
303,talkieroundhole,"RT @OrlandoWeekly: Florida's medical marijuana chief is stepping down
https://t.co/qlpGSsMxRA",Sat Jul 28 14:54:16 +0000 2018,
304,ChuckMoreno82,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:51:37 +0000 2018,"Michigan, USA"
305,Retired014,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:37:29 +0000 2018,United States
306,Timsyouthcenter,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:32:30 +0000 2018,"Michigan, USA"
307,Deana24738391,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:30:48 +0000 2018,"Asheville, NC"
308,Cat_vi71,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:27:31 +0000 2018,Cape Cod
309,msyoung2222,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:25:30 +0000 2018,"Tennessee, USA"
310,jauremom,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:24:47 +0000 2018,
311,Trapper5150,Bipartisan Group of U.S. Senators Urge Sessions to Stop Blocking Marijuana Research https://t.co/vS8ZPiOaFz @sencorygardner @senorrinhatch,Sat Jul 28 14:22:42 +0000 2018,"Tampa Bay, FL"
312,PassTime_62,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:22:27 +0000 2018,United States
313,OldRacecarLover,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:18:39 +0000 2018,"Cape Coral, FL"
314,RealTeriFLA,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:14:57 +0000 2018,"Florida, USA"
315,JTrott,@mitchellvii You could try marijuana for the headache and a possible secondary gain of no longer being an obnoxious… https://t.co/Zo7u53bKjX,Sat Jul 28 14:14:20 +0000 2018,United States
316,2AStars,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:14:14 +0000 2018,
317,TheGranaryOP,Monsanto and Bayer are Maneuvering to Take Over the Cannabis Industry https://t.co/vOO7qDKRSk,Sat Jul 28 14:13:40 +0000 2018,"Orange Park, Florida"
318,JaciHuffman,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:08:42 +0000 2018,"Arizona, USA"
319,ShriverBob,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:08:31 +0000 2018,
320,Misterfreedom69,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:06:29 +0000 2018,"Newark, Delaware "
321,mastormind1,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sat Jul 28 14:03:29 +0000 2018,Living in the REAL world(no rainbows and unicorns)
322,MyCannaMD,A little cannabis trivia to brighten your day 🤓  https://t.co/EW1SjhyJOt #marijuana #marijuanafacts #cannabis… https://t.co/119dkYhpjy,Sat Jul 28 14:03:07 +0000 2018,"Orlando, FL"
323,CombatDebater,"Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijua… https://t.co/GucHYfGDqN",Sat Jul 28 14:02:55 +0000 2018,"Minnesota, USA"
324,itsWanda,RT @ChrisKingFL: 2.5 million Floridians are going without healthcare because they can't afford it. Here's how we can make healthcare more a…,Sat Jul 28 14:02:43 +0000 2018,left of Main Street
325,Baloo5232,@IAmJeffEmmerson Marijuana is currently the leading cause of substance dependence other than alcohol in the U.S. In… https://t.co/p4uOaLA64q,Sat Jul 28 13:57:26 +0000 2018,
326,PorcaroLaw,The states using medical marijuana for opioid substitutes - Axios https://t.co/oeSV4vSNip,Sat Jul 28 13:51:50 +0000 2018,"Delray Beach, FL"
327,satisfied_rap,RT @WALBNews10: 1 arrested after Warwick police seize 100 lbs. of marijuana https://t.co/tCU8jIIZFo https://t.co/Z79wK1kRai,Sat Jul 28 13:48:28 +0000 2018,
328,Sparkleplenty64,Trump Paves Way For United States Marijuana Legalization https://t.co/rLOkkiIhBV,Sat Jul 28 13:45:56 +0000 2018,Tampa Bay
329,TRUSTinbound,Oklahoma to Vote on Relaxing Rigid Medical Marijuana Regulations https://t.co/dUundn6AVA #marijuana,Sat Jul 28 13:37:13 +0000 2018,"Ponte Vedra, FL"
330,TRUSTinbound,Hot off the press! THE INCROWD is out!  https://t.co/GT0K1q40Fi Thanks to @hellogramsly @ebmpapstusa @ThinkingKlearly #cannabis #marijuana,Sat Jul 28 13:37:02 +0000 2018,"Ponte Vedra, FL"
331,OrlandoWeekly,"Florida's medical marijuana chief is stepping down
https://t.co/qlpGSsMxRA",Sat Jul 28 13:31:48 +0000 2018,"Orlando, FL"
332,Spliffsonianfl,"Check out what time is saying about the Marijuana Industry #Spliffsonian @ Jacksonville, Florida https://t.co/N9rmZIaO9B",Sat Jul 28 13:25:21 +0000 2018,"Duval, Florida"
333,lawnjock478,RT @Laylafor57: Did you know that @WalkerForFL supports full legal adult use marijuana? #Vote4AScientist,Sat Jul 28 13:24:29 +0000 2018,Ohio/Florida
334,Mar974988,This $1 billion corner of the marijuana industry is set for a boom — here are some popular products https://t.co/26jkQiai51,Sat Jul 28 13:23:35 +0000 2018,"Clearwater, FL"
335,QuteEnchantress,"Georgia man admits growing marijuana in home, jury sends him home https://t.co/tWkSCXHfaJ",Sat Jul 28 13:11:52 +0000 2018,"Jacksonville,  FL"
336,Promo_Madness,"Americans feel positively toward medical marijuana, but the research isn’t there yet https://t.co/jQNZZ6PhfA https://t.co/9heVgYpEU8",Sat Jul 28 13:11:06 +0000 2018,Hollywood
337,processanalyzer,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Sat Jul 28 13:09:06 +0000 2018,Space Coast
338,liquidskydesign,"Americans feel positively toward medical marijuana, but the research isn’t there yet https://t.co/bn0c8fIxpz #news #tech",Sat Jul 28 13:07:09 +0000 2018,Switzerland
339,TruckChampion,"Attorney General Jeff Sessions, marijuana legalization opponent, says states have 'right to set their own laws' https://t.co/VZjArt7IqL",Sat Jul 28 13:07:07 +0000 2018,"Fort Lauderdale, FL"
340,processanalyzer,"RT @TB_Times: Christian Bax, the embattled head of the state’s Office of Medical Marijuana Use, is stepping down https://t.co/ICOKhQRQPy",Sat Jul 28 13:06:39 +0000 2018,Space Coast
341,sunmoonallstars,"Rules for @beinlibertarian candidates (2/4): 
2. Stop talking about legalizing marijuana! If you get asked, say the… https://t.co/izTh4nUOY7",Sat Jul 28 13:00:30 +0000 2018,"Pennsylvania, USA"
342,OsborneScott,"@mitchellvii Stick to what you know Mr. Mitchell, politics. CBD oil vs marijuana oil discussions need to be left to… https://t.co/PYxevAD8i0",Sat Jul 28 12:46:19 +0000 2018,United States
343,WALBNews10,1 arrested after Warwick police seize 100 lbs. of marijuana https://t.co/tCU8jIIZFo https://t.co/CmGF685KZU,Sat Jul 28 12:45:11 +0000 2018,"Albany, GA"
344,OklasotaGal,"@johnfuller @secupp They used political terms to help identify social welfare groups that may be political. ""One wa… https://t.co/jVS0eWf11G",Sat Jul 28 12:36:07 +0000 2018,"Minnesota, USA"
345,Laylafor57,I support @WalkerForFL for Florida Agriculture Commissioner. He is a scientist with a farming background who wants… https://t.co/NyTfApZLJh,Sat Jul 28 12:27:54 +0000 2018,"Riverview, FL"
346,anglwingss,Job Recruiters Say These 3 Jobs in the Cannabis Industry Command the Highest Salaries https://t.co/SBflQS5Qsg,Sat Jul 28 12:27:32 +0000 2018,"Pensacola, Florida"
347,anglwingss,Job Recruiters Say These 3 Jobs in the Cannabis Industry Command the Highest Salaries | Marijuana https://t.co/SBflQS5Qsg,Sat Jul 28 12:27:27 +0000 2018,"Pensacola, Florida"
348,DrugTestNews,The states using medical marijuana for opioids substitutes https://t.co/p5h29IudX8,Sat Jul 28 11:46:27 +0000 2018,"Boca Raton, FL"
349,bswaldron,RT @OCSOALERTS: It’s tough to steal an #icecream truck and make a getaway no one notices.  But William Grappy tried anyway.  He's now charg…,Sat Jul 28 11:45:37 +0000 2018,Trinidad W.I.
350,cannaclinicmd,Medical Marijuana: Senate Approves Use by Veterans https://t.co/NvAtLA8qsZ via @IanWyattEssex,Sat Jul 28 11:39:12 +0000 2018,"Boca Raton, FL"
351,tylerh1986,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Sat Jul 28 11:35:52 +0000 2018,
352,Wrathanon,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Sat Jul 28 11:25:59 +0000 2018,Everywhere 
353,vcorps1,RT @OCSOALERTS: It’s tough to steal an #icecream truck and make a getaway no one notices.  But William Grappy tried anyway.  He's now charg…,Sat Jul 28 11:20:13 +0000 2018,
354,DrugTestNews,Health Department unveils new proposed marijuana rules https://t.co/WdhMq5ebzM,Sat Jul 28 10:46:28 +0000 2018,"Boca Raton, FL"
355,2018bestever,Surprising medical marijuana side effect on 4/20 day: More people claiming disability https://t.co/zyhIrPEX3f,Sat Jul 28 10:45:35 +0000 2018,Jacksonville fl
356,JanBarrow2016,RT @Laylafor57: Did you know that @WalkerForFL supports full legal adult use marijuana? #Vote4AScientist,Sat Jul 28 09:57:55 +0000 2018,
357,CalhounCoFL_GOP,Embattled State Medical Marijuana Chief Steps Down https://t.co/5WYQVWYWVN #ssnalerts,Sat Jul 28 09:16:47 +0000 2018,"Blountstown, Fl"
358,ScoopReportnews,The states using medical marijuana for an opioids substituts https://t.co/rQjZU35SBw,Sat Jul 28 09:14:51 +0000 2018,"Pennsylvania, USA"
359,tonydistefano,"@JohnMorganESQ $13.3M? For what @FLGovScott? Pad your ""healthcare"" buddies? https://t.co/dOKm2yEwxd",Sat Jul 28 09:00:27 +0000 2018,"Tampa, FL"
360,OhMyWuan,Wow who saw this coming https://t.co/KH9nb4taWd,Sat Jul 28 07:14:06 +0000 2018,"Miami, FL"
361,Florida_MJ,California Officials Say No To Marijuana-Infused Alcohol And Bars With Cannabis Consumption | Marijuana Moment… https://t.co/8WTERm7dz1,Sat Jul 28 07:05:34 +0000 2018,"Miami, FL"
362,mmbtox,Marijuana Beliefs Outstrip Evidence https://t.co/pwlWDdwOqM,Sat Jul 28 06:12:58 +0000 2018,sunshine state
363,JenniferD8133,New story on NPR: D.C. Has Had More Than 300 Synthetic Marijuana Overdoses In 2 Weeks https://t.co/QVLTyAY3AK,Sat Jul 28 06:06:16 +0000 2018,"Miami, FL"
364,DrugTestNews,Is second-hand marijuana smoke harmful to children? https://t.co/gZxe5goZOG,Sat Jul 28 04:46:27 +0000 2018,"Boca Raton, FL"
365,NicoleeeSarah,Liquid marijuana was soooo nasty,Sat Jul 28 03:55:16 +0000 2018,Moss Point
366,DrugTestNews,Marijuana bill protects jobs of federal employees caught smoking pot https://t.co/eR93AdUD6V,Sat Jul 28 03:46:28 +0000 2018,"Boca Raton, FL"
367,GoGoGoing,"RT @1SKERKRO: RICKSCOTT doesn't care if this is illegal!
He has been taking bribes for the last 8 years!When you accept ""Lg Donations ""
You…",Sat Jul 28 03:46:25 +0000 2018,"Lexington, KY"
368,amorenomore,"RT @1SKERKRO: RICKSCOTT doesn't care if this is illegal!
He has been taking bribes for the last 8 years!When you accept ""Lg Donations ""
You…",Sat Jul 28 03:42:24 +0000 2018,Deep South
369,1SKERKRO,"RICKSCOTT doesn't care if this is illegal!
He has been taking bribes for the last 8 years!When you accept ""Lg Donat… https://t.co/unn3HHsBlH",Sat Jul 28 03:40:34 +0000 2018,ORLANDO FLORIDA USA
370,Joshdior,RT @Joshdior: Rolling marijuana that's a cheap vacation,Sat Jul 28 03:35:27 +0000 2018,"Miami, FL"
371,CandyHeadEdible,"RT @ShartsvilleGal: @420Rts Do you love #marijuana more than Whiskey Sharts? Is that possible? Here's our love song to Miss Mary Jane:
(lin…",Sat Jul 28 03:21:44 +0000 2018,"Providence, RI"
372,ShartsvilleGal,@420Rts Do you love #marijuana more than Whiskey Sharts? Is that possible? Here's our love song to Miss Mary Jane:… https://t.co/x447pKDGUb,Sat Jul 28 03:10:54 +0000 2018,"Orlando, FL, United States"
373,gapundit,RT @WALBNews10: 1 arrested after Warwick police seize 100 lbs. of marijuana https://t.co/tCU8jIIZFo https://t.co/m2uSH5y8hh,Sat Jul 28 02:48:00 +0000 2018,"Atlanta, Georgia"
374,Richard79251750,"@ChrisJZullo @realDonaldTrump @FLSTFairgrounds You must have been given one of those ""FREE EDUCATIONS"" because ever… https://t.co/46P4i5z0bG",Sat Jul 28 02:41:19 +0000 2018,"St Petersburg, FL"
375,WALBNews10,1 arrested after Warwick police seize 100 lbs. of marijuana https://t.co/tCU8jIIZFo https://t.co/m2uSH5y8hh,Sat Jul 28 02:38:02 +0000 2018,"Albany, GA"
376,MsPamelaknight,Cat chewing that marijuana plant https://t.co/TXqLNvJd3L,Sat Jul 28 02:14:08 +0000 2018,"St Petersburg, FL"
377,Agitate20817,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Sat Jul 28 02:05:48 +0000 2018,"Bethesda, MD"
378,ReverendNalley,"""Why is marijuana against the law? It grows naturally upon our planet. Doesn't the idea of making nature against th… https://t.co/0cOaDBZKqu",Sat Jul 28 01:53:01 +0000 2018,"Tampa, FL"
379,DrugTestNews,"Georgia man admits growing marijuana in home, jury sends him home https://t.co/BouJ2P6S1r",Sat Jul 28 01:46:27 +0000 2018,"Boca Raton, FL"
380,Bronwyn1963,@PascoSheriff I attended a homebirth once where the Grandma-to-be walked around waving burning sage all over the ho… https://t.co/y0eTRMLVvb,Sat Jul 28 01:40:06 +0000 2018,"Dade City, FL"
381,davidleelawson,@CheriJacobus Who would care about your account? Maybe get a marijuana brownie recipe!,Sat Jul 28 01:32:09 +0000 2018,"Cairo, Egypt"
382,kushflavrdjager,Florida's medical marijuana director abruptly resigns https://t.co/AjqE86u0qm via @Florida_Today,Sat Jul 28 01:26:37 +0000 2018,"Melbourne, FL"
383,tjm9722,Legal marijuana: U.K. approves cannabis for medical use https://t.co/YqP2vIt2O1,Sat Jul 28 01:11:46 +0000 2018,"St. Pete Beach, FL"
384,MagnumPRinc,RT @TogetherMinn: Listen up elected officials the people have spoken! #TogetherMN https://t.co/H6dRBA6fBW #mnleg,Sat Jul 28 01:05:58 +0000 2018,"Minneapolis, Minnesota"
385,tbtnewspaper,"Christian Bax, the embattled head of the Florida’s Office of Medical Marijuana Use, is stepping down. https://t.co/KY09cn2zAH",Sat Jul 28 01:00:01 +0000 2018,"Tampa Bay, Florida"
386,DougBarrett4,Trump signals support for legislation lifting federal ban on marijuana https://t.co/jFxBt1o4SO,Sat Jul 28 00:52:07 +0000 2018,"Robertsdale,Al"
387,DrugTestNews,Recreational marijuana sales still on hold until lab lands license https://t.co/JYRPCvuKQ5,Sat Jul 28 00:46:28 +0000 2018,"Boca Raton, FL"
388,DesolationRow7,@Tim_Walz has been a leader in working to get the VA to study marijuana as a option to opioids. Supports legalizati… https://t.co/hwfg1BuEEW,Sat Jul 28 00:41:59 +0000 2018,"Minnesota, USA"
389,IndivisibleEHil,RT @Laylafor57: Did you know that @WalkerForFL supports full legal adult use marijuana? #Vote4AScientist,Sat Jul 28 00:34:15 +0000 2018,"East Hillsborough County, FL"
390,crisssledge,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Sat Jul 28 00:24:41 +0000 2018,"Manhattan Beach, California"
391,Kaidinn,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Sat Jul 28 00:23:53 +0000 2018,a creation of the Internet
392,BaconzBitz1,Javonnie McCoy was growing marijuana when the cops came to his Middle Georgia home. He was caught red-handed with i… https://t.co/W9mkJYOgFp,Sat Jul 28 00:20:25 +0000 2018,"Pennsylvania, USA"
393,DrugTestNews,Florida's embattled director of medical marijuana steps down https://t.co/S8BtcKpazl,Sat Jul 28 00:16:32 +0000 2018,"Boca Raton, FL"
394,KingSaash,I thought it was cocaine. Was it cocaine? Was it marijuana? Was it Dominican seasoning? Was it baby powder? Was it… https://t.co/kzM8InRmXa,Sat Jul 28 00:13:00 +0000 2018,"Tampa, FL"
395,tcorral1256,"RT @EdKrassen: BREAKING: Congressman Tim Ryan (D-OH) has called for the legalization of Marijuana nationwide!

 ""I am calling for an end to…",Sat Jul 28 00:12:07 +0000 2018,"Cleveland, OH"
396,orlandosentinel,Florida's medical marijuana director abruptly resigns https://t.co/LIJVu881ry https://t.co/6e701nOkzM,Sat Jul 28 00:06:32 +0000 2018,"Orlando, FL"
397,ispotify1,RT @CrescoYeltrah: Would could Pennsylvania do with an addition $580 million in state tax revenues? Recreational marijuana could mean influ…,Sat Jul 28 00:03:17 +0000 2018,Near The Cross ..how bout u ? 
398,kknorth88,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Sat Jul 28 00:00:21 +0000 2018,
399,bvalaw,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Fri Jul 27 23:54:47 +0000 2018,
400,haleyyyamberr1,My sister asked me earlier what the difference between weed &amp; marijuana was🤔😂,Fri Jul 27 23:47:35 +0000 2018,
401,lgpereira29,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:37:03 +0000 2018,"Winter Haven, FL"
402,AllthingsFOX30,"Georgia man admits growing marijuana in home, jury sends him home https://t.co/x5mieaUv3Z",Fri Jul 27 23:35:08 +0000 2018,"Jacksonville, FL"
403,BaconzBitz1,A proposed bill in California would protect medical marijuana patients from being fired if they tested positive on… https://t.co/Vo35xSdYdr,Fri Jul 27 23:27:52 +0000 2018,"Pennsylvania, USA"
404,NewsAndChat,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:26:34 +0000 2018,Central Florida
405,tampa1_,"@realDonaldTrump Change the narrative,  legalise marijuana please sir",Fri Jul 27 23:25:47 +0000 2018,"Tampa, FL"
406,WOrd2YOmOtha_23,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:24:13 +0000 2018,DO YOU EVEN LIFT? 
407,GatorWire,Florida's medical marijuana director abruptly resigns https://t.co/VS3G8MbCAO https://t.co/0MpuF7594A,Fri Jul 27 23:21:07 +0000 2018,"Gainesville, Florida"
408,KimberlySpano,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:20:44 +0000 2018,"Weston, FL"
409,Aydin_Adam,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:19:52 +0000 2018,South Florida
410,RayneMaybe,Marijuana is made of CBD and THC. THC makes ya goofy. CBD is all the medical benefit without the high. (explanation… https://t.co/IjBC18ONdk,Fri Jul 27 23:19:49 +0000 2018,"Valrico, FL"
411,lopezgovlaw,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:18:15 +0000 2018,"Miami, Florida"
412,RaissaDevereux,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:17:51 +0000 2018,"Aventura, Florida"
413,jimfried,@FriedonBusiness Show 462: #MedicalCannabis update for #maimi #miamibeach &amp; #Flroida | #breakingNews and your… https://t.co/sMpzQDEYd4,Fri Jul 27 23:17:02 +0000 2018,Miami
414,JayR_NICEEEE,"RT @WPLGLocal10: Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over delays in…",Fri Jul 27 23:16:36 +0000 2018,"Little Santo Domingo, USA"
415,WPLGLocal10,"Florida medical marijuana director Christian Bax, who has been a frequent target of lawmakers and patients over del… https://t.co/yzOsDasAci",Fri Jul 27 23:15:51 +0000 2018,"Miami, FL"
416,CindablockBITTT,"@realDonaldTrump dude come on with this shit hurry up and legalize marijuana, u wanna make money there u go it’s fuckin easy",Fri Jul 27 23:00:00 +0000 2018,"Sarasota, FL"
417,GardJason,"RT @AnricaC: Ricardo Rojas is a 75 yr. old elderly man who is serving a LIFE sentence for Marijuana! That's right, POT! He has spent the la…",Fri Jul 27 22:59:43 +0000 2018,
418,Villages_News,Man who works at Villages country club arrested with marijuana at Lake Miona Recreation Center https://t.co/0SkHeolD5X,Fri Jul 27 22:58:42 +0000 2018,"The Villages, FL"
419,tampa1_,@realDonaldTrump Legalize marijuana please sir,Fri Jul 27 22:54:16 +0000 2018,"Tampa, FL"
420,BenJohansen9,All we need is love and hope...and legal marijuana.,Fri Jul 27 22:48:27 +0000 2018,"Orlando, FL"
421,WALBNews10,1 arrested after Warwick police seize 100 lbs. of marijuana https://t.co/tCU8jIIZFo https://t.co/Z79wK1kRai,Fri Jul 27 22:45:09 +0000 2018,"Albany, GA"
422,PhilAmmann,RT @SSNAlerts: Embattled state medical marijuana chief steps down: https://t.co/sGWZ1AM2Ae #SSNalerts #sayfie #FlaPol,Fri Jul 27 22:36:19 +0000 2018,"St. Petersburg, FL"
423,MyNews13,"If passed, the National Academies of Science would look at the impact of legal marijuana on revenue and taxes, crim… https://t.co/WfgeUAxmxb",Fri Jul 27 22:35:15 +0000 2018,"Orlando, FL"
424,GeneV318,@politico It's marijuana.  He's stopping decriminalization.,Fri Jul 27 22:28:58 +0000 2018,Flagler Beach
425,DarcyAutrey,"RT @WOKVNews: Georgia man admits growing marijuana in home, jury sends him home https://t.co/TrRbYYtoZz https://t.co/PN5LbTtLGX",Fri Jul 27 22:28:21 +0000 2018,Florida
