,user,txt,dt,user_location
32,MayorLevine,🗳If you’re ready for a state where we expand Medicaid and work to provide affordable healthcare for EVERY Floridian… https://t.co/RiLNMWEn96,Sun Jul 29 20:28:21 +0000 2018,Miami Beach
33,tampa1_,"@realDonaldTrump Mueller is a crook. Rosenstein eill be impeached.  Legalize marijuana please sir,  put some dollar… https://t.co/6x5rjE2XpO",Sun Jul 29 20:22:59 +0000 2018,"Tampa, FL"
34,BlindSilf,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 20:17:46 +0000 2018,
35,FievelJ,"Marijuana (Cannabis) needs to be legalized, Please please please retweet this if you agree.",Sun Jul 29 20:04:43 +0000 2018,"Pennsylvania, USA"
36,LNseven5,Pot is NOT the answer! Is marijuana the answer to the opioid epidemic? https://t.co/obvFGpH88U,Sun Jul 29 19:51:39 +0000 2018,Tampa
37,mrpierre_ishere,@_BlackGuyT Mayb alcohol but most people i know have never smoked marijuana,Sun Jul 29 19:43:12 +0000 2018,"Altamonte Springs, FL"
38,SolaScriptura99,@ZachSoap @HeavenzHalo30 @yeshua_porvida A demonic spirit. So does marijuana. 😀,Sun Jul 29 19:39:48 +0000 2018,"Palm Beach County, FL"
39,Deeenst,RT @EarlDBarnes2: @SGottliebFDA government admits prohibition doesnt work but yet marijuana stays schedule 1 And the man behind the schedul…,Sun Jul 29 19:38:31 +0000 2018,United States
40,PJS18463750,RT @staats_j: @FoxNews Anyone notice many of the trees between the burned houses were OK? Time for CA to update building codes and spend mo…,Sun Jul 29 19:37:17 +0000 2018,"Vero Beach, Fl"
41,knoxmedical,"For an FDA study, the authors surveyed 16,000 Americans about their attitudes toward #cannabis. The results showed… https://t.co/AaHCO9qdrt",Sun Jul 29 19:24:14 +0000 2018,"Miami, FL"
42,staats_j,@FoxNews Anyone notice many of the trees between the burned houses were OK? Time for CA to update building codes an… https://t.co/5GLChm8YHI,Sun Jul 29 19:23:04 +0000 2018,"Fort Lauderdale, FL"
43,kittycat821,RT @molly7anne: Once a doctor asked if I’ve smoked marijuana and I said yes and then she asked “When was the last time you smoked? This mor…,Sun Jul 29 19:08:57 +0000 2018,  ¯\(˘◡˘❁)/¯
44,Susannah_Bryan,"Stoned driver had mushrooms and marijuana labeled 'Gorilla Glue' and 'Mint Cookies,' cops say https://t.co/o63KlSziIH",Sun Jul 29 19:01:30 +0000 2018,"Hollywood, FL"
45,AaronKrolik,"@APTheNovelist @CNN Agreed. It should be taxed like cigarettes. Meanwhile, let’s not legalize marijuana which saves lives.",Sun Jul 29 19:00:59 +0000 2018,"Delray Beach, FL"
46,ORM_Hacks,"RT @OPresenceMgr: Online Presence Management services for Medical Marijuana Clinics, Dispensaries, Doctors, and Growers

https://t.co/SePSz…",Sun Jul 29 19:00:09 +0000 2018,Worldwide
47,AM1470WWNN,"RT @SunSentinel: Stoned driver had mushrooms and marijuana labeled 'Gorilla Glue' and 'Mint Cookies,' cops say https://t.co/PBCZtBNlRx http…",Sun Jul 29 18:58:27 +0000 2018,"Boca Raton, Florida"
48,DrShalomim,If blacks in America don't give a dam about the long term destructive genetic effects of Marijuana/THC &amp; refuse to… https://t.co/sr4RUR3e9u,Sun Jul 29 18:52:02 +0000 2018,"Orlando, FL"
49,PepsiiC,"RT @SunSentinel: Stoned driver had mushrooms and marijuana labeled 'Gorilla Glue' and 'Mint Cookies,' cops say https://t.co/PBCZtBNlRx http…",Sun Jul 29 18:45:10 +0000 2018,"Florida, USA"
50,SportsfanThomas,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sun Jul 29 18:43:24 +0000 2018,
51,seamussaid,RT @molly7anne: Once a doctor asked if I’ve smoked marijuana and I said yes and then she asked “When was the last time you smoked? This mor…,Sun Jul 29 18:42:43 +0000 2018,Silicon Hollar NorthCackalacky
52,SunSentinel,"Stoned driver had mushrooms and marijuana labeled 'Gorilla Glue' and 'Mint Cookies,' cops say… https://t.co/ViVl76kqWD",Sun Jul 29 18:42:42 +0000 2018,South Florida
53,BaconzBitz1,"In 1936, 'Reefer Madness' warned about marijuana.

Now in 2018, we've updated it to warn your kids about a much sca… https://t.co/RfQUTCnT01",Sun Jul 29 18:36:09 +0000 2018,"Pennsylvania, USA"
54,MyCannaMD,"Wondering where you can and can't use #MedicalMarijuana? Check out today's post, drawn straight from Florida's Amen… https://t.co/ULuRtA8chh",Sun Jul 29 18:28:48 +0000 2018,"Orlando, FL"
55,MMJIQ,7 States That Should Have Billion-Dollar Marijuana Markets by 2022 - The Motley Fool https://t.co/qhMUDgPTLj,Sun Jul 29 18:25:00 +0000 2018,"Miami, FL"
56,nancy_kerschner,"RT @EdKrassen: BREAKING: Congressman Tim Ryan (D-OH) has called for the legalization of Marijuana nationwide!

 ""I am calling for an end to…",Sun Jul 29 18:24:30 +0000 2018,
57,WFLA,"RT @EvanDonovan: #DECISION2018 Today I spoke to candidate Robert @TagerForCongres, running to represent northern Pinellas and Pasco in U.S.…",Sun Jul 29 18:23:07 +0000 2018,"Tampa, FL"
58,EvanDonovan,"#DECISION2018 Today I spoke to candidate Robert @TagerForCongres, running to represent northern Pinellas and Pasco… https://t.co/JdA0SmHs6H",Sun Jul 29 18:15:16 +0000 2018,"Tampa, FL"
59,Bernard_Perry2,@fukYOfeelings11 Oh I am! You ever had a liquid marijuana?!,Sun Jul 29 18:10:53 +0000 2018,"Valdosta, Georgia"
60,j082298,'Marijuana is a gift from God.' A battle over pot pits the Mormon Church against an unlikely group: other Mormons https://t.co/ofPdDzVHkI,Sun Jul 29 17:48:25 +0000 2018,FL
61,JamesWann7,"Bob Marley was buried with his red Gibson guitar, a Bible opened to Psalm 23, and some marijuana.",Sun Jul 29 17:46:02 +0000 2018,"Miami, FL"
62,jimfried,RT @nikkifried: In 100 days we need to elect a Commissioner of Agriculture and Consumer Services that will fight for the rights of medical…,Sun Jul 29 17:37:48 +0000 2018,Miami
63,TRUSTinbound,Hot off the press! THE INCROWD is out!  https://t.co/qRbJKSyctx Thanks to @cannabislawblog @paraboy12 @ParsHerald #marijuana,Sun Jul 29 17:35:05 +0000 2018,"Ponte Vedra, FL"
64,OGO51111,"@YvonneHinsonRawls @KayserEnneking @nathancrabbe What are your views on ""recreational"" marijuana?",Sun Jul 29 17:25:31 +0000 2018,"Gainesville, FL"
65,floridagardenr,RT @nikkifried: In 100 days we need to elect a Commissioner of Agriculture and Consumer Services that will fight for the rights of medical…,Sun Jul 29 16:54:01 +0000 2018,"South Florida, USA"
66,PaulCherry,"We don't want medical marijuana, we want full and total legalization... get it straight motherfukers!
 
# Get It Straight Now!",Sun Jul 29 16:37:11 +0000 2018,"Vero Beach, Fl"
67,Elamoramigo,"RT @ch_ifm: &gt;300 people overdosed in Washington, D.C. in the last two weeks after consuming what is suspected to be #synthetic #marijuana -…",Sun Jul 29 16:23:29 +0000 2018,"Yemen , Aden"
68,LegoBuilder904,Duval schools look for assurances on marijuana dispensaries #jacksonville #florida #bhivelabs #bhive #bhivenectar… https://t.co/cZ9OGgHOpY,Sun Jul 29 16:21:26 +0000 2018,"Jacksonville, Florida"
69,notimetobehere,RT @molly7anne: Once a doctor asked if I’ve smoked marijuana and I said yes and then she asked “When was the last time you smoked? This mor…,Sun Jul 29 16:14:54 +0000 2018,
70,fightgeek,RT @molly7anne: Once a doctor asked if I’ve smoked marijuana and I said yes and then she asked “When was the last time you smoked? This mor…,Sun Jul 29 16:11:59 +0000 2018,"Bozeman, MT"
71,Smudgie_the_cat,"RT @EvanDonovan: ""Veterans need medical care, they need to deal with injuries and #PTSD. Veterans should have access to anything that relie…",Sun Jul 29 16:10:41 +0000 2018,
72,bev_bowns,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 16:08:26 +0000 2018,"Ontario, Ca"
73,OPresenceMgr,"Online Presence Management services for Medical Marijuana Clinics, Dispensaries, Doctors, and Growers… https://t.co/PDBLAXk6n9",Sun Jul 29 16:02:16 +0000 2018,"Tampa, FL"
74,stephencrews,"RT @WTVYNews4: THC edibles imitated Rice Krispy Treats , Swedish Fish and Nerdz Candies -- &gt; https://t.co/Ke6k383byb",Sun Jul 29 15:58:55 +0000 2018,"ÜT: 31.047981,-85.858624"
75,deerichards,People against legalization should read this. 'Marijuana is a gift from God.' Battle over pot pits the Mormon Church https://t.co/KD9L45bzYg,Sun Jul 29 15:58:42 +0000 2018,"Mobile, AL"
76,SoulFlyTry,RT @nikkifried: In 100 days we need to elect a Commissioner of Agriculture and Consumer Services that will fight for the rights of medical…,Sun Jul 29 15:53:28 +0000 2018,FL
77,dacnomaniaxx,RT @molly7anne: Once a doctor asked if I’ve smoked marijuana and I said yes and then she asked “When was the last time you smoked? This mor…,Sun Jul 29 15:52:45 +0000 2018,neverland
78,DoctorInsidious,@swe_carter @AB84 @DezBryant I mean maybe if he was clean his whole football career he might deserve that money but… https://t.co/lQLY77KFNB,Sun Jul 29 15:44:00 +0000 2018,"Pennsylvania, USA"
79,TagerForCongres,"RT @EvanDonovan: ""Veterans need medical care, they need to deal with injuries and #PTSD. Veterans should have access to anything that relie…",Sun Jul 29 15:29:09 +0000 2018,"Florida, USA"
80,CandyHeadEdible,"RT @OPresenceMgr: Pinned to Reputation Management on @Pinterest: Online Presence Manager services for Medical Marijuana Clinics, Dispensari…",Sun Jul 29 15:20:57 +0000 2018,"Providence, RI"
81,mommylovesweed,RT @molly7anne: Once a doctor asked if I’ve smoked marijuana and I said yes and then she asked “When was the last time you smoked? This mor…,Sun Jul 29 15:20:50 +0000 2018,Canada
82,cybereq,"Retweeted Stash (@Stash):

Looking to invest in the legal marijuana industry? Now you can.",Sun Jul 29 15:12:52 +0000 2018,"Miami, FL"
83,WizeGran,RT @ringoffireradio: Big Pharma Has Launched A War On Medical Marijuana: https://t.co/QZqkJUXw4A via @YouTube,Sun Jul 29 15:06:50 +0000 2018,
84,OPresenceMgr,"Pinned to Reputation Management on @Pinterest: Online Presence Manager services for Medical Marijuana Clinics, Disp… https://t.co/2NYe4l9Sf2",Sun Jul 29 15:04:11 +0000 2018,"Tampa, FL"
85,TGuntherGroup,NBC LA reported last week that 1 in 5 batches of #Marijuana tested positive for pesticides in the new Bureau of Can… https://t.co/ZMCHLxUoCv,Sun Jul 29 14:45:16 +0000 2018,"Miami, FL"
